ROE;TITULO_ORIGINAL;DIRETOR
E1402384900000;DJ SNAKE  - TURN DOWN FOR WHAT (FEAT. LIL JON);DANIELS
E1402385700000;THE DICTATOR;LARRY CHARLES
E1402388000000;THE BLACK EYED PEAS - BEBOT;PATRICIO GINALSA
E1402388600000;THE BLACK EYED PEAS - IMMA BE ROCKING THAT BODY;RICH LEE
E1402397200000;GUS (AKA EXPECTING);JESSIE MCCORMACK
E1402398000000;NEVER ENDING STORY 2: THE NEXT CHAPTER;GEORGE MILLER
E1402398400000;FREE WILLY 2: THE ADVENTURE HOME;DWIGHT LITTLE
E1402398700000;DOUBLE DOUBLE, TOIL AND TROUBLE;STUART MARGOLIN
E1402393200000;TO GRANDMOTHER'S HOUSE WE GO;JEFF FRANKLIN
E1402399700000;THE AVIATORS;ANTHONY NALLI
E1402400200000;CHRISTINA AGUILERA - BEAUTIFUL (AO VIVO);CHRISTINA AGUILERA
E1402400500000;CHRISTINA AGUILERA - GENIE IN A BOTTLE;CHRISTINA AGUILERA
E1402400700000;CHRISTINA AGUILERA - CAR WASH (FEAT. MISSY ELLIOTT );CHRISTINA AGUILERA
E1402400800000;DAVID GUETTA  - WHERE THEM GIRLS AT? (FEAT. NICKI MINAJ & FLO RIDA);DAVE MEYERS
E1402401300000;NATALEE HOLLOWAY;MIKAEL SALOMON
E1402401700000;SCORPIONS - MTV UNPLUGGED;SVEN OFFEN
E1402393900000;THE SNITCH CARTEL;CARLOS MORENO
E1402402000000;RUN AWAY HOME;GAIL HARVEY
E1402402600000;HARLEQUIN: HARD TO FORGET;VIC SARIN
E1402402800000;HARLEQUIN: DIAMOND GIRL;THIMOTHY BOND
E1402394500000;LOVE'S LONG JOURNEY;MICHAEL LANDON JR.
E1402405700000;JUSTIN TIMBERLAKE - MY LOVE;PAUL HUNTER
E1402408300000;MARIAH CAREY - ALL I WANT FOR CHRISTMAS IS YOU;MARIAH CAREY
E1402426900000;SID!;ROBERT LANG
E1402428200000;TAYLOR SWIFT - LIVE ON THE SEINE;TAYLOR SWIFT
E1402410400000;NE-YO - BECAUSE OF YOU;MELINA MATSOUKAS, OMER GANAI
E1402411200000;NE-YO - NEVER KNEW I NEEDED;MELINA MATSOUKAS
E1402412800000;THE STROKES - HEART IN A CAGE (RADIO VERSION);JULIAN CASABLANCAS
E1402413700000;TRAIN - HEY, SOUL SISTER;MATT STAWSKI
E1402414000000;USHER - YEAH;MR. X
E1402414700000;CHICAGO PD;MATT OLMSTEAD
E1402415500000;USHER - HEY DADDY;CHRIS ROBINSON
E1402415600000;USHER - COUCHT UP;USHER TERRY RAYMOND
E1402416800000;USHER - DJ GOT US FALLIN' IN LOVE (FEAT. PITBULL);HIRO MURAI
E1402419700000;ANNIE LENNOX - A WHITER SHADE OF PALE;ANNIE LENNOX
E1402421000000;DEMI LOVATO - GIVE YOUR HEART A BREAK;JUSTIN FRANCIS
E1402415900000;SEAL TEAM EIGHT: BEHIND ENEMY LINES;ROEL REIN�
E1402416200000;THEY CAME TOGETHER;DAVID WAIN
E1402396900000;BARBIE AS RAPUNZEL;OWEN HURLEY
E1402417900000;ELTON JOHN - THE ONE;RUSSEL MULCAHY
E1402418400000;FERGIE - CLUMSY;RICH LEE, MARC WEBB
E1402420400000;JOHN MAYER - CLARITY;JOHN MAYER
E1402401900000;CORRINA, CORRINA;JESSIE NELSON
E1402421500000;NEIGHBORS;NICHOLAS STOLLER
E1402423900000;JOHN MAYER - HEARTBREAK WARFARE;VANCE BUBERRY
E1402424300000;JOHN MAYER - SOMETHING'S MISSING;JOHN MAYER
E1402421700000;JOHN MAYER - WHY GEORGIA;JOHN MAYER
E1402423500000;KATY PERRY - THINKING OF YOU;MELINA MATSOUKAS
E1402423800000;KATY PERRY - THIS IS HOW WE DO;JOEL KEFALI
E1402429800000;LULU SANTOS - TUDO IGUAL;LUIZ MAURICIO PRAGANA DOS SANTOS
E1402430400000;MILEY CYRUS - FLY ON THE WALL;PHILLIP ANDELMAN
E1402431700000;ROXETTE - DANGEROUS;DOUG FREEL
E1402429200000;GOLDFINGER;GUY HAMILTON
E1402437500000;THUNDERBALL;TERENCE YOUNG
E1402435200000;AMERICAN PIE 2;J.B. ROGERS
E1402441500000;FATHER OF THE BRIDE;CHARLES SHYER
E1402441800000;FEAR;JAMES FOLEY
E1402444500000;ROMEO & JULIET (2013);CARLO CARLEI
E1402445200000;THE GIVER;PHILIP NOYCE
E1402473000000;ULTIMATE SPIDER MAN;TIM ELDRED
E1402445900000;DAKOTA;JOSEPH KANE
E1402448800000;SIMPLY RED - IF YOU DON'T KNOW ME BY NOW;MICK HUCKNALL
E1402449700000;SNAP - RHYTHM IS A DANCER;HOWARD GREENHALGH
E1402451500000;THE BLACK EYED PEAS - SHUT UP;WILL.I.AM
E1402474300000;COLDPLAY - IN MY PLACE;S. MULLER
E1402855000000;M�SICA AOS VIVOS;LUIZ FERNANDO CARIJO CHAFFIN
E1402484100000;JENNIFER LOPEZ - DANCE AGAIN ( FEAT. PIT BULL);PAUL HUNTER
E1402465700000;JOTA QUEST - MAIS UMA VEZ;MARCELO FRO�S
E1402462000000;LADY GAGA - BORN THIS WAY;NICK KNIGHT
E1402463200000;LADY GAGA  - TELEPHONE (FEAT. BEYONC�);JONAS AKERLUND
E1402463900000;LYKKE LI - FOLLOW RIVERS;TARIK SALEH
E1402466700000;PARAMORE - THE ONLY EXCEPTION;BRANDON CHESBRO
E1402470500000;CHRISTINA PERRI - BURNING GOLD;JAY MARTIN
E1402471500000;DRAKE - TAKE CARE (FEAT. RIAHNNA );YOANN LEMOINE
E1402487700000;FLO RIDA  - WILD ONES (FEAT. SIA);ERIK WHITE
E1402489100000;FIRST THE OFFICIAL FILM OF THE LONDON 2012 OLYMPICS;CAROLINE HOWLAND
E1402489600000;STOP AT NOTHING: THE LANCE ARMSTRONG STORY;ALEX HOLMES
E1402490100000;FLORENCE + THE MACHINE - SHAKE IT OUT;DAWN SHADFOTRTH
E1402490200000;FLORENCE + THE MACHINE - SPECTRUM;FLORENCE WELCH
E1402493200000;JACK JOHNSON - UPSIDE DOWN;THE MALLOYS
E1402494900000;KYLIE MINOGUE - CAN'T GET YOU OUT OF MY HEAD;DAWN SHADFOTRTH
E1402495100000;KYLIE MINOGUE - INTO THE BLUE;DAWN SHADFOTRTH
E1402495900000;MAROON 5 - ANIMALS;SAMUEL BAYER
E1402498000000;ALL FOR NOTHING;TIM ALP
E1402497000000;MAROON 5 - SUNDAY MORNING;BIG TV
E1402498900000;STEVIE WONDER - FUN DAY;LIONEL MARTIN
E1402499700000;TAIO CRUZ - FAST CAR;TAIO CRUZ
E1402500700000;THE BLACK KEYS - NEXT GIRL;CHRIS MARRS PILLERO
E1402501500000;THE PUSSYCAT DOLLS - WHEN I GROW UP;JOSEPH KAHN
E1402502800000;TONY BENNETT & LADY GAGA - I CAN'T GIVE YOU ANYTHING BUT LOVE;NICOLE EHRLICH
E1402503000000;TYGA & DRAKE - STILL GOT IT;IREN SHEFFIELD
E1402510500000;BORGIAS, THE;NEIL JORDAN
E1402511500000;LOVE STORY;ARTHUR HILLER
E1402512600000;BEYOND BORDERS;MARTIN CAMPBELL
E1402514700000;AVATAR;JAMES CAMERON
E1402516100000;MONSTER HIGH - GHOULS RULE;MIKE FETTERLY
E1402516900000;BARBIE THE PEARL PRINCESS;EZEKIEL NORTON
E1402517500000;MARIO PUZO�S THE GOLDFATHER. CODA: THE DEATH OF MICHAEL CORLEONE;FRANCIS FORD COPPOLA
E1402517700000;EASY COME EASY GO;JOHN RICH
E1402518500000;INGLOURIOUS BASTERDS;QUENTIN TARANTINO
E1402520500000;HUGO;MARTIN SCORSESE
E1402507600000;AMY WINEHOUSE - REAHB;PHIL GRIFFIN
E1402508100000;AMY WINEHOUSE - VALERIE (LIVE);AMY WINEHOUSE
E1402521600000;CURSE OF CHUCKY;DON MANCINI
E1402526200000;BRIDGIT MENDLER - READY OR NOT;PHILIP ANDELMAN
E1402526600000;CAPITAL CITIES - I SOLD MY BED, BUT NOT MY STEREO;ELLIS BAHL
E1402527000000;CHERLY COLE - FIGHT FOR THIS LOVE (REMIX);RAY KAY
E1402527100000;CHRIS BROWN FEAT. USHER & RICK ROSS - NEW FLAME;MKE HO
E1402528000000;EMINEM - SPACE BOUND;JOSEPH KAHN
E1402510000000;FAR EAST MOVEMENT FEAT. JUSTIN BIEBER - LIVE MY LIFE;MICKEY FINNEGAN
E1402529600000;FRANZ FERDINAND - ULYSSES (LIVE);THIRTYTWO
E1402530600000;HILARY DUFF - WAKE UP;HILARY DUFF
E1402530800000;HILARY DUFF - WITH LOVE;MATTHEW ROLSTON
E1402531200000;IMAGINE DRAGONS - ON TOP OF THE WORLD;MATT EASTIN, COREY FOX
E1402532600000;LANA DEL REY - WEST COAST;CHRIS SWEENEY, SOPHIE MULLER
E1402532900000;LILY ALLEN - FUCK YOU (LIVE);LILY ALLEN
E1402526500000;CLOUD 9;HARRY BASIL
E1402543100000;FRONTEIRA (D.U.C.A);JO�O SOLDA
E1402535000000;PAULA FERNANDES - QUANDO A CHUVA PASSAR;PAULA FERNANDES
E1402536700000;TAYLOR SWIFT - YOU BELONG WITH ME;ROMAN WHITE
E1402537000000;TAYLOR SWIFT & PAULA FERNANDES - LONG LIFE;TAYLOR SWIFT & PAULA FERNANDES
E1402545200000;SNOW WHITE AND THE SEVEN DWARFS;LARRY MOREY
E1402558600000;BEHAVING BADLY;TIM GARRICK
E1402537500000;FLY - VOC� SE FOI;THIAGO EVA
E1402538000000;ARCADE FIRE - READY TO START;CHARLIE LIGHTENING
E1402539400000;ARCADE FIRE - THE SUBURBS;SPIKE JONZE
E1402540400000;BAT FOR LASHES - LAURA;NATASHA KHAN
E1402540500000;BAT FOR LASHES - PEARL'S DREAM (LIVE);NATASHA KHAN
E1402541100000;DAVID GARRET - VIVA LA VIDA;DAVID GARRET
E1402561700000;GLASTONBURY 2014 LIVE EXTENDED;ALISON HOWE
E1402562800000;ROBBIE WILLIAMS LIVE IN TALLIN;ALISON HOWE
E1402563000000;GREAT CAPITALS OF THE WORLD;SYLVIE LOEILLET
E1402542500000;HOT CHIP - READY FOR THE FLOOR;NIMA NOURIZADEH
E1402563700000;WATCHMEN;ZACK SNYDER
E1402565100000;WHERE WE ARE: LIVE FROM SAN CIRO;BEN WINSTON
E1402566000000;MONK;ANDRE BELGRADER
E1402566900000;LET'S LEARN ABC'S;ALLAN JACOBSEN
E1402568000000;ETANA - RICHEST GIRL;RAS KASSA
E1402549100000;I DUE FOSCARI;THADDEUS STRASSBERGER
E1402549800000;RISE AND FALL OF THE CITY OF MAHAGONNY;JOHN FULLJAMES
E1402569000000;JA RULE - CLAP BACK;JEFFREY ATKINS
E1402569100000;JA RULE - EXODUS;JEFFREY ATKINS
E1402569800000;MONSTER HIGH - SCARIS - CITY OF FRIGHTS;DUSTIN MCKENZIE
E1402569900000;JAMES MORRISON - PLEASE DON'T STOP THE RAIN;DAVID EDWARDS
E1402572400000;JAMES CULLUM - MIND TRICK;KEVIN GODLEY
E1402583000000;DOS HERMANOS;DANIEL BURMAN
E1402570200000;KAISER CHIEFS - BORN TO BE A DANCER (LIVE);STYLEWAR
E1402571200000;KAISER CHIEFS - NEVER MISS A BEAT;KAISER CHIEFS
E1402571500000;KAISER CHIEFS - RUBY;STYLEWAR
E1402573600000;JUDAS;CHARLES ROBERT CARNER
E1402565000000;FUN IN ACAPULCO;RICHARD THORPE
E1402550600000;NANYE WEST - GOLD DIGGER;KANYE WEST
E1402551700000;KANYE WEST - TOUCH THE SKY;CHRIS MILK
E1402565300000;THE KITE RUNNER;MARC FORSTER
E1402565400000;ZECA PAGODINHO 30 ANOS;ADRIANA PENNA
E1402553900000;KATE NASH - PUMPKIN SOUP;KINGA BURZA
E1402554800000;KEANE - SOMEWHERE ONLY WE KNOW;KEANE
E1402555200000;KELLY ROWLAND - DIRTY LAUNDRY;JOHN MCCOLGAN
E1402555700000;KERI HILSON FEAT. KENYE WEST & NE-YO - KNOCK YOU DOWN;CHRIS ROBINSON
E1402574500000;BARBIE A FAIRY SECRET;WILLIAM LAU
E1402575000000;BARBIE DIARIES, THE;ERIC FOGEL
E1402557700000;NELLY FURTADO - BUCKET LIST;AARON A
E1402559400000;NICOLE SCHERZINGER FEAT T. I & SEAN GARRET - WHATEVER U LIKE;PAUL HUNTER
E1402560500000;PET SHOP BOYS - VOCAL;NEIL FRANCIS TENNANT
E1402576800000;DRAGON BALL Z KAI;DAISUKE NISHIO
E1402560800000;PHOENIX - ENTERTAINMENT;PATRICK DAUGHTERS
E1402578200000;FAMILY PLOT;ALFRED HITCHCOCK
E1402578400000;MAN WHO KNEW TOO MUCH, THE;ALFRED HITCHCOCK
E1402579000000;MASTER AND COMMANDER - THE FAR SIDE OF THE WORLD;PETER WEIR
E1402579200000;LOVE NEVER DIES;BRETT SULLIVAN
E1402580000000;ESCAPE FROM ALCATRAZ;DON SIEGEL
E1402580200000;JONATHAN LIVINGSTON SEAGULL;HALL BARTLETT
E1402580600000;PRETTY IN PINK;HOWARD DEUTCH
E1402581100000;WAR AND PEACE;KING VIDOR
E1402582400000;BELLS OF ST. MARY'S;LEO MCCAREY
E1402582700000;WAR OF THE WORLDS;STEVEN SPIELBERG
E1402589100000;THE AMAZING SPIDER-MAN;MARC WEBB
E1402591100000;MY SISTER'S KEEPER;NICK CASSAVETES
E1402592500000;RED BULL THE AMAZONIAN DIVE 2014;ARNE REH
E1402592400000;RED BULL DIRT CONQUERS 2014;KEITH MULLIGAN
E1402594000000;FLASHDANCE;ADRIAN LYNE
E1402594900000;SHUTTER ISLAND;MARTIN SCORSESE
E1402595400000;AMERICAN WEREWOLF IN LONDON, AN;JOHN LANDIS
E1402595500000;ATONEMENT;JOE WRIGHT
E1402596200000;A MILLION WAYS TO DIE IN THE WEST;SETH MACFARLANE
E1402597300000;HANNIBAL;RIDLEY SCOTT
E1402597700000;KING KONG;PETER JACKSON
E1402599200000;ROBIN HOOD;RIDLEY SCOTT
E1402600100000;CATCH. 44;AARON HARVEY
E1402601600000;BOURNE ULTIMATUM, THE;PAUL GREENGRASS
E1402610200000;50 CENT - 21 QUESTIONS;PHILLIP ATWELL
E1402605200000;50 CENT - ANIMAL AMBITION;EIF RIVERA
E1402610300000;JESUS CHRIST SUPERSTAR - LIVE ARENA TOUR;LAURENCE CONNOR
E1402606000000;50 CENT - OK, YOU'RE RIGHT;CURTIS JAMES JACKSON III
E1402607400000;LAND BEFORE TIME 3 - THE TIME OF GREAT GIVING;ROY ALLEN SMITH
E1402607600000;LAND BEFORE TIME 5 - THE MYSTERIOUS ISLAND;CHARLES GROSVENOR
E1402564700000;DEXTER;STEVE SHILL
E1402588300000;BRUCE SPRIGSTEEN - STREETS OF PHILADELPHIA;TED DEMME
E1402589700000;CAETANO VELOSO - UM ABRA�A�O;PAULA LAVIGNE
E1402589900000;CAETANO VELOSO & GILBERTO GIL - HAITI;CAETANO VELOSO
E1402609900000;AMERICAN PIE PRESENTS: BOOK OF LOVE;JOHN PUTCH
E1402611900000;BABE;CHRIS NOONAN
E1402611300000;CIDADE NEGRA - GERA��O COCA-COLA;DARCY BURGER
E1402612100000;GREEN ZONE;PAUL GREENGRASS
E1402692300000;THE  MIGHTY  MACS;TIM CHAMBERS
E1402623500000;47 RONIN;CARL RINSCH
E1402623900000;DEATH CLIQUE;DOUG CAMPBELL
E1402624200000;BLUE BLOODS;F�LIX ENR�QUEZ ALCAL�
E1402624800000;KING CREOLE;MICHAEL CURTIZ
E1402627100000;ANNIE;WILL GLUCK
E1402600300000;A HAUNTED HOUSE 2;MICHAEL TIDDES
E1402627600000;THE HOUSE OF MAGIC;JEREMY DEGRUSON
E1402628000000;FACE OFF;MICHAEL AGBABIAN
E1402618000000;GOO GOO DOLLS - REBEL BEAT;P.R BROWN
E1402618700000;KORN - FREAK ON A LEASH;TODD MCFARLANE
E1402620600000;LIONEL RICHIE - TIME;LIONEL RICHIE
E1402665300000;BEAUTY & THE BEAST;RICK BOTA
E1402614500000;PAUL MCCARTNEY - WE ALL STAND TOGETHER;PAUL MCCARTNEY
E1402614900000;R.E.M - DAYSLEEPER;MICHAEL STIPE
E1402616100000;SONIQUE - SKY;SONIA CLARKE
E1402623400000;TEARS FOR FEARS - WOMAN IN CHAINS;CURT SMITH
E1402623600000;THE ROLLING STONES - ANGIE;MICHAEL LINDSAY-HOGG
E1402638800000;THE STONES IN THE PARK;LESLIE WOODHEAD
E1402626000000;THE ROLLING STONES - SYMPATHY FOR DEVIL;MICK JAGGER
E1402639600000;LILY THE WITCH 2;HARALD SICHERITZ
E1402631300000;THE VERVE - LUCKY MAN;RICHARD ASHCROFT
E1402631900000;ERASED;PHILIPP ST�LZL
E1402631700000;ZECA PAGODINHO - O SOL NASCER� (� SORRIR);JOANA MAZZUCCHELLI
E1402632200000;PINK ATTITUDE;CECILE DENJEAN
E1402632400000;ZECA PAGODINHO - POSSO AT� ME APAIXONAR;ZECA PAGODINHO
E1402629400000;DEAL WITH IT - US VERSION;WILLIAM MILLER
E1402629500000;LINGERIE;JOHN QUINN
E1402630400000;HARVEY;HENRY KOSTER
E1402641800000;MAR ADENTRO;ALEJANDRO AMEN�BAR
E1402644100000;ROLL BOUNCE;MALCOLM D. LEE
E1402636600000;RED FANG EUROCK�ENNES FESTIVAL, FRANCE 07TH OF JULY 2013;PIERRE LOUIS
E1402637800000;THE EAGLES FAREWELL TOUR 1 - LIVE IN MELBOURNE;CAROL DODDS
E1402638300000;LIONEL RICHIE LIVE - HIS GREATEST HITS & MORE;MOCEAN MELVIN
E1402638400000;AC/DC: LIVE AT DONINGTON 1991;DAVID MALLET
E1402643600000;MOMENTUM 2;TAYLOR STEELE
E1402667000000;TWO MOTHERS;ANNE FONTAINE
E1402645900000;KWEPUNHA LIBERIA;SUSAN BLAKELY
E1402646700000;THE DIAMOND LIGHT WAS IN MY EYES;PHILLIP MANSFIELD
E1402648700000;INTO THE MIND;ERIC CROSLAND
E1402650000000;SCARFACE;HOWARD HAWKS
E1402649000000;SUPERVENTION;FILIP CHRISTENSEN
E1402649500000;BOARDROOM;MARKUS DAVIDS
E1402649700000;SLIPPING: SKATE'S IMPACT ON EGYPT;BRETT WRIGHT
E1402640000000;DIVERGENT;NEIL BURGER
E1402640900000;HAPPY CHRISTMAS;JOE SWANBERG
E1402643800000;RENO 911!: MIAMI;ROBERT GARANT
E1402646800000;LA MITAD DE OSCAR;MANUEL MART�N CUENCA
E1402647100000;PROMETEO DEPORTADO;FERNANDO MIELES
E1402634400000;GWEN STEFANI - BABY DON'T LIE;SOPHIE MELLER
E1402672100000;PEPPA;NEVILLE ASTLEY
E1402674700000;THE EQUALIZER;ANTOINE FUQUA
E1402672900000;CAPITAL INICIAL - EU VOU ESTAR;D. MELLO
E1402673100000;CAPITAL INICIAL - FOGO (AO VIVO);RODRIGO CARELLI
E1402673800000;CAPITAL INICIAL - O LADO ESCURO DA LUA;DEL REGINATO
E1402674900000;COUNTING CROWS - ACCIDENTALLY IN LOVE;ADAM DURITZ
E1402691000000;CPM 22 - NOSSA M�SICA;RICARDO SPENCER
E1402675300000;CREED - MY SACRIFICE;D. MEYERS
E1402675600000;DETONAUTAS ROQUE CLUBE - DANIEL NA COVA DOS LE�ES;DARCY BURGUER
E1402675900000;DETONAUTAS ROQUE CLUBE - N�O RECLAME MAIS;MAUR�CIO E�A
E1402676000000;DETONAUTAS ROQUE CLUBE - O DIA QUE N�O TERMINOU;TICO SANTA CRUZ
E1402676700000;DETONAUTAS ROQUE CLUBE - S� POR HOJE;TICO SANTA CRUZ
E1402676800000;DETONAUTAS ROQUE CLUBE - T�NIS ROQUE;TICO SANTA CRUZ
E1402677100000;DETONAUTAS ROQUE CLUBE - VAMOS VIVER;TCHELO DRC
E1402679800000;FREJAT - T�NEL DO TEMPO;CONSEQU�NCIA
E1402680200000;O RAPPA - AUTO-REVERSE;MAURICIO E�A
E1402680300000;O RAPPA - BOA NOITE, XANG� (LYRIC VIDEO);EDUARDO KURT
E1402680600000;O RAPPA - MINHA ALMA (A PAZ QUE EU N�O QUERO);BRENO SILVEIRA
E1402664900000;ROBBIE WILLIAMS - ANGELS (LIVE);ROBBIE WILLIAMS
E1402663000000;ROBBIE WILLIAMS - BE A BOY;ROBBIE WILLIAMS
E1402663100000;ROBBIE WILLIAMS - CANDY;JOSEPH KHAN
E1402661800000;SHAGGY FEAT. AKON - WHAT'S LOVE;HYPE WILLIAMS
E1402684700000;SUPERSTAR;BRUCE MCCULLOCH
E1402660400000;THE LUMINEERS - SUBMARINES;NICHOLAS SUTTON BELL
E1402660700000;U2 - DISCOTH�QUE;BONO VOX
E1402661000000;U2 - GLORIA;BONO VOX
E1402659900000;U2 - NEW YEAR'S DAY;MEIERT AVIS
E1402660200000;U2 - PRIDE;BONO VOX
E1402658400000;U2 - SOMETIMES YOU CAN'T MAKE IT ON YOUR OWN;BONO VOX
E1402659100000;U2 - VERTIGO;ALEX MARTINI
E1402659200000;U2 - WALK ON (VERS�O RIO DE JANEIRO);BONO VOX
E1402657900000;WEEZER - PORK AND BEANS;MATHEW CULLEN
E1402658100000;WEEZER - YOU MIGHT THINK;BRAD LEWS
E1402687400000;THE LAST DAYS ON MARS;RUAIRI ROBINSON
E1402656300000;AFROREGGAE - QUERO S� VOC�;ANDERSON S�
E1402656700000;ANITA BAKER - I APOLOGIZE;COSMO VITELLI
